sdk,target_version,eval_version,model,strategy,tasks,exec_at_1,pass_at_1,sample_exec_rate,sample_pass_rate,samples
pennylane,0.32.0,0.32.0,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,1.0,1.0,1.0,0.8333333333333334,6
pennylane,0.32.0,0.32.0,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,1,1.0,1.0,1.0,1.0,4
pennylane,0.32.0,0.32.0,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,1.0,1.0,1.0,0.8333333333333334,6
pennylane,0.32.0,0.32.0,gpt-5,rag_docs,2,1.0,1.0,1.0,1.0,6
pennylane,0.32.0,0.32.0,gpt-5,rewrite_baseline,1,1.0,1.0,1.0,1.0,2
pennylane,0.32.0,0.32.0,gpt-5,vanilla,2,1.0,1.0,1.0,1.0,6
pennylane,0.32.0,0.35.1,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,1.0,1.0,0.8333333333333334,0.6666666666666666,6
pennylane,0.32.0,0.35.1,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,1,1.0,1.0,1.0,1.0,2
pennylane,0.32.0,0.35.1,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,0.5,0.5,0.6666666666666666,0.5,6
pennylane,0.32.0,0.35.1,gpt-5,rag_docs,2,1.0,1.0,0.8333333333333334,0.8333333333333334,6
pennylane,0.32.0,0.35.1,gpt-5,rewrite_baseline,1,1.0,1.0,1.0,1.0,1
pennylane,0.32.0,0.35.1,gpt-5,vanilla,2,0.5,0.5,0.8333333333333334,0.8333333333333334,6
pennylane,0.32.0,0.44.1,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,1.0,1.0,0.8333333333333334,0.6666666666666666,6
pennylane,0.32.0,0.44.1,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,1,1.0,1.0,1.0,1.0,2
pennylane,0.32.0,0.44.1,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,0.5,0.5,0.6666666666666666,0.5,6
pennylane,0.32.0,0.44.1,gpt-5,rag_docs,2,1.0,1.0,0.8333333333333334,0.8333333333333334,6
pennylane,0.32.0,0.44.1,gpt-5,rewrite_baseline,1,1.0,1.0,1.0,1.0,1
pennylane,0.32.0,0.44.1,gpt-5,vanilla,2,0.5,0.5,0.8333333333333334,0.8333333333333334,6
qiskit,0.45.3,0.45.3,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,1.0,1.0,1.0,1.0,6
qiskit,0.45.3,0.45.3,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,2,1.0,1.0,1.0,1.0,8
qiskit,0.45.3,0.45.3,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,1.0,1.0,1.0,1.0,6
qiskit,0.45.3,0.45.3,gpt-5,rag_docs,2,1.0,1.0,1.0,1.0,6
qiskit,0.45.3,0.45.3,gpt-5,rewrite_baseline,2,1.0,1.0,1.0,1.0,4
qiskit,0.45.3,0.45.3,gpt-5,vanilla,2,1.0,1.0,1.0,1.0,6
qiskit,0.45.3,1.0.2,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,1.0,1.0,1.0,1.0,6
qiskit,0.45.3,1.0.2,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,2,1.0,1.0,1.0,1.0,4
qiskit,0.45.3,1.0.2,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,0.0,0.0,0.3333333333333333,0.3333333333333333,6
qiskit,0.45.3,1.0.2,gpt-5,rag_docs,2,1.0,1.0,0.8333333333333334,0.8333333333333334,6
qiskit,0.45.3,1.0.2,gpt-5,rewrite_baseline,2,1.0,1.0,1.0,1.0,2
qiskit,0.45.3,1.0.2,gpt-5,vanilla,2,0.0,0.0,0.6666666666666666,0.6666666666666666,6
qiskit,0.45.3,2.0.3,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,1.0,1.0,0.8333333333333334,0.8333333333333334,6
qiskit,0.45.3,2.0.3,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,2,1.0,1.0,1.0,1.0,4
qiskit,0.45.3,2.0.3,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,0.0,0.0,0.16666666666666666,0.16666666666666666,6
qiskit,0.45.3,2.0.3,gpt-5,rag_docs,2,1.0,1.0,0.8333333333333334,0.8333333333333334,6
qiskit,0.45.3,2.0.3,gpt-5,rewrite_baseline,2,1.0,1.0,1.0,1.0,2
qiskit,0.45.3,2.0.3,gpt-5,vanilla,2,0.0,0.0,0.6666666666666666,0.6666666666666666,6
